Time,s1*,s1d*,s1dd*,s2*,s2d*,s2dd*,f*,E*,s1_ref,s1d_ref,s1dd_ref,s2_ref,s2d_ref,s2dd_ref,f_ref,E_ref
5.720000000000245,3.631788996733997,39.57905305781745,-530.5757957639664,-1.2723249255200495,25.723631606023,1782.8363686549123,-494.5475811680519,3191.974814734046,3.362463810445117,39.1516033900106,-494.46679561532665,-1.200123255928179,32.46869804456239,1653.803383295597,-456.9269971718744,3111.0709663632656
5.730000000000248,3.998181045249683,34.22825147911336,-535.476959849885,-0.923444352961356,41.87183468526467,1449.7155119410324,-495.7303365202093,3179.833692490656,3.7292111356093622,34.20171225827416,-492.2284760793942,-0.7988529486635011,47.10386155640662,1245.6587560053335,-451.5161934974731,3108.0517602894934
5.740000000000252,4.311253278659302,28.94110115826249,-520.5620984609178,-0.4351998977746748,53.75826278168075,954.3650699129596,-477.6348642662152,3177.843964257818,4.046879860188655,29.364647658630325,-472.7569655083346,-0.2741871103022523,56.9145967436873,697.8473527684686,-429.351702140585,3103.833384221348
5.750000000000255,4.572624239851524,23.888163441076017,-491.07306046970393,0.1419887003162355,60.04719187143994,351.1479586901272,-445.4874850935055,3184.3062240293348,4.31736871677143,24.784857298176355,-441.8283578918061,0.3195970096750967,60.794714451768925,70.4997038740005,-396.1761849942741,3098.521646863954
5.760000000000258,4.785300952241278,19.180653355470454,-453.408017660955,0.7476264595240958,60.016783937856886,-293.8153870058058,-405.6561330685647,3194.06486165788,4.543715146198403,20.544239686305325,-406.0545544330687,0.920340988972834,58.28860688733332,-567.6068706591133,-358.56297900245414,3092.9962573804382
5.770000000000262,4.953037613471839,14.862851641321663,-414.386368095394,1.3177731085786812,53.63737375806773,-909.9244997821028,-364.9217432034697,3200.6194031629943,4.729440470254388,16.657544901114647,-372.1239791149828,1.464819516733669,49.640299198558594,-1146.6197267311975,-323.16381992232743,3088.390195946191
5.780000000000265,5.07966013826252,10.91215745009485,-380.4737182096058,1.7920410068679806,41.57366745974387,-1429.8522662373866,-329.71014365783964,3198.864701539552,4.877887431078545,13.075450965031632,-346.0400156015105,1.895661356627372,35.76556347398578,-1603.284316780548,-295.9535961942219,3085.4900106886826
5.790000000000268,5.168433273146106,7.246710935133355,-357.05231407129816,2.120192681695773,25.11077509254123,-1796.9225217247465,-305.3690379863741,3187.2934739840352,4.991625550336832,9.694915086325738,-332.4410900444391,2.1676167122111067,18.150322887668946,-1887.8764014674357,-281.5553430324382,3084.3268293217843
5.800000000000272,5.221541671667247,3.739682339991168,-347.81706736103325,2.267615210195341,6.012355983584481,-1971.303269012896,-295.5694840542885,3168.7127591273074,5.071991673719075,6.37559837810454,-334.0771233025497,2.2524841410069576,-1.31333618526276,-1969.6331606608828,-282.7196467275485,3084.135590093527
5.810000000000275,5.239743144218134,0.238593042825,-354.363313243657,2.219073447904888,-13.673414563524023,-1934.3386635196737,-301.89739506925514,3149.1498916294445,5.11881757513072,2.9604962442968707,-351.4996844385888,2.1421588779443352,-20.5353971978369,-1840.0898791617,-300.01545906285185,3083.6921840346818
5.820000000000278,5.22223275000427,-3.412515660124104,-376.01120220130286,1.980334212697182,-31.838658720842822,-1690.548604777169,-323.67954730421866,3135.3884039117083,5.1303753230315365,-0.7015526443218567,-382.9995241811646,1.849471932367736,-37.45742413333513,-1513.9602637391208,-331.7659262152814,3081.868721435995
5.830000000000282,5.166732643621519,-7.35055853195303,-409.8855124483648,1.577487970136874,-46.546661557728086,-1267.0817092890102,-358.0627033243403,3132.154851774168,5.103546602165639,-4.734007961003463,-424.7978650113753,1.406732691796761,-50.27809545031821,-1027.46908246591,-374.2357997858192,3078.149883825181
5.840000000000285,5.069797246360328,-11.67305322911622,-451.2415503296109,1.0540475155837172,-56.24345093994505,-710.6873109894442,-400.33659902365054,3140.127570823632,5.034197042422128,-9.213872386933746,-471.4698814606376,0.862140186466797,-57.64999918269961,-434.3258882734174,-422.0492982751097,3072.870395400337
5.850000000000288,4.927299171998639,-16.422219917156198,-494.0007731935166,0.4661468166989345,-59.92692630510078,-82.54418534893473,-444.46475911971993,3155.594731563183,4.917713601328598,-14.15814530963086,-516.5532917127198,0.2744618922752213,-58.82613856022392,200.212691811198,-468.79197023039694,3067.0573504181075
5.860000000000292,4.735041049793242,-21.57532106483411,-531.436786691165,-0.123629145615199,-57.25507936670613,548.4819088537218,-483.7643356252461,3171.8982510956694,4.7496447055221545,-19.517013937336216,-553.2746975587078,-0.2934316580726757,-53.7401693147049,806.5356269013661,-507.7299518972199,3061.9374690772192
5.870000000000295,4.489424176213901,-27.042338748313,-556.9359493846912,-0.6531037243226727,-48.58157299627632,1113.408663661568,-511.6598970451922,3182.0552048073146,4.526371189278611,-25.17456546380368,-575.3134715040222,-0.7814638330502497,-43.0117047111084,1318.332219678977,-532.5672161576165,3058.321417334953
5.880000000000298,4.188098342605258,-32.67127735397825,-564.7487493826598,-1.0673032658482977,-34.914940183932934,1550.7032323310973,-522.4281034331907,3181.4639785827894,4.24573234695972,-30.95697421836112,-577.5189918796667,-1.1389220106904068,-27.876274887290126,1679.8670040110414,-538.1573658319056,3056.138493769684
5.890000000000302,3.830518938938056,-38.26053984020823,-550.6492676858463,-1.3244420176004243,-17.80605302721936,1813.0137469933184,-511.8513430445266,3169.581045508518,3.90753603733418,-36.64729443590008,-556.5022894401492,-1.3299800373216817,-10.047804884011867,1852.07647632048,-521.0916585103973,3054.337657095708
5.900000000000305,3.41834731811648,-43.57704792836186,-512.4302649481306,-1.4004427524878422,0.8236290160291102,1872.3296709655756,-477.7085352346926,3149.9010661153693,3.5138942198730683,-42.005262833608825,-511.0370941442992,-1.3375689538690103,8.471128619176444,1816.8205192360224,-480.0986782289294,3051.218425329779
5.910000000000308,2.9556473229798548,-48.3781459699594,-450.17958130857687,-1.291500721691491,18.894052962536826,1723.0083267835687,-420.049290702817,3128.294760642716,3.069344186801102,-46.789965204801575,-442.2263102795128,-1.1651747266093195,25.610298885800788,1578.8255616527213,-416.2118649319819,3045.0720882946243
5.920000000000312,2.448852961647788,-52.43491367842849,-366.3076140543824,-1.014414349511954,34.395456755172695,1382.340301781414,-341.2214737783095,3110.447472744718,2.5807389954109508,-50.78290779764269,-353.4157752963216,-0.8363704121449961,39.45973853854044,1165.1111144131182,-332.68667612197635,3034.8779820852637
5.930000000000315,1.9065070356739011,-55.55435946381086,-265.3229810072569,-0.604651751204151,45.60899175222441,888.5971825420798,-245.6493024596784,3099.505130192629,2.0569156440987726,-53.80899128762319,-249.86492528276165,-0.3921395282145326,48.47950132031978,621.9682460530369,-234.67666797053624,3020.769572309775
5.940000000000318,1.338795353927176,-57.59809006777934,-153.38108184091257,-0.1123706665623921,51.29489319999989,296.78142415985303,-139.38647118459488,3094.9226132292074,1.5081736215619856,-55.753116842330805,-138.21064358875387,0.1137100443838436,51.66826976214034,9.827347697309444,-128.70421905736708,3004.0744277885365
5.950000000000322,0.7569232820774068,-58.49543939561215,-37.65510613686212,0.4031665134600339,50.82762307273539,-327.45021271517567,-29.49338790090455,3092.9753242845427,0.9456169507849324,-56.5706341026726,-25.78318341787273,0.6205331692027425,48.67237427661058,-603.4163293101128,-21.98407732029067,2986.903967631312
5.960000000000325,0.1723983649325532,-58.249646865356006,74.40161271698364,0.8801658243141007,44.26327358834333,-915.01887728981,76.69321251241934,3088.670658301993,0.3804275071446354,-56.290516599386656,80.15084494275604,1.0675742978251737,39.82337626271247,-1149.8827038057084,78.32606835426373,2971.4513797202435
