Time,kappa,pos,vel,acc,p1,p2,f
1.25,0.45434559,0.504730413,0.024292056,-0.821749467,3123021.906,4577032.954,7021.704481
1.26,0.46004005,0.504931353,0.015894776,-0.857660708,3193483.943,4506575.347,6945.496693
1.27,0.465644705,0.505046867,0.007207317,-0.879778635,3263910.181,4436151.407,6898.76607
1.28,0.471071166,0.505074756,-0.001629746,-0.88757809,3333143.144,4366918.419,6882.498174
1.29,0.476233855,0.505014245,-0.010471958,-0.880808478,3400034.122,4300025.099,6897.177569
1.3,0.481051353,0.504866011,-0.019173874,-0.859522407,3463469.61,4236585.114,6942.733034
1.31,0.485447685,0.504632175,-0.027592012,-0.82405962,3522391.661,4177656.748,7018.568503
1.32,0.489353519,0.504316267,-0.035587725,-0.77504728,3575820.654,4124220.095,7123.554512
1.33,0.492707257,0.503923168,-0.043029894,-0.713363017,3622871.171,4077161.144,7256.090666
1.34,0.495456008,0.50345902,-0.049797331,-0.640114568,3662768.655,4037255.089,7414.129449
1.35,0.497556423,0.502931117,-0.055780842,-0.556592668,3694859.477,4005156.204,7595.251706
1.36,0.498975378,0.502347777,-0.060884924,-0.464243322,3718621.361,3981387.388,7796.700157
1.37,0.499690494,0.501718197,-0.065029091,-0.364623117,3733668.361,3966335.123,8015.447258
1.38,0.499690494,0.501052298,-0.068148859,-0.259375454,3739756.503,3960243.837,8248.220562
1.39,0.498975378,0.500360566,-0.070196445,-0.150195913,3736785.243,3963214.367,8491.552675
1.4,0.497556423,0.499653875,-0.071141207,-0.038816695,3724799.829,3975201.63,8741.794983
1.41,0.495456008,0.498943319,-0.070969886,0.073018182,3703990.228,3996015.633,8995.155245
1.42,0.492707257,0.498240039,-0.069686672,0.183563512,3674690.56,4025322.087,9247.711427
1.43,0.489353519,0.497555046,-0.067313105,0.291094103,3637375.028,4062646.434,9495.454615
1.44,0.485447685,0.49689905,-0.063887814,0.393917595,3592653.338,4107378.492,9734.322211
1.45,0.481051353,0.496282292,-0.059466057,0.490399438,3541261.998,4158781.138,9960.265158
1.46,0.476233855,0.495714379,-0.054119045,0.578983468,3484053.978,4216000.733,10169.31449
1.47,0.471071166,0.495204131,-0.047932992,0.658223929,3421983.821,4278082.007,10357.68005
1.48,0.465644705,0.49475944,-0.041007872,0.726813505,3356090.659,4343985.146,10521.84731
1.49,0.46004005,0.494387133,-0.033455858,0.783618746,3287477.197,4412606.808,10658.69419
1.5,0.45434559,0.494092866,-0.025399439,0.827708421,3217287.365,4482802.565,10765.59418
1.51,0.448651129,0.49388103,-0.016969256,0.858383028,3146681.683,4553411.531,10840.51963
1.52,0.443046474,0.49375468,-0.008301688,0.875192818,3076813.178,4623280.51,10882.11484
1.53,0.437620013,0.493715491,0.000463705,0.877951305,3008803.482,4691287.868,10889.75046
1.54,0.432457324,0.493763742,0.009186812,0.866734608,2943721.678,4756364.708,10863.53616
1.55,0.427639826,0.493898319,0.01772956,0.841873943,2882565.523,4817513.601,10804.30617
1.56,0.423243494,0.494116751,0.025958356,0.803935119,2826246.866,4873823.157,10713.56438
1.57,0.41933766,0.494415264,0.033746309,0.753693179,2775580.457,4924479.161,10593.40807
1.58,0.415983923,0.49478886,0.040975153,0.692098942,2731277.013,4968771.476,10446.42568
1.59,0.413235172,0.495231408,0.047536837,0.620245726,2693939.234,5006097.986,10275.58934
1.6,0.411134756,0.495735754,0.053334776,0.53933443,2664060.88,5035965.492,10084.1418
1.61,0.409715802,0.496293841,0.058284781,0.450644117,2642027.342,5057989.113,9875.495869
1.62,0.409000685,0.496896834,0.062315708,0.355506146,2628117.493,5071890.413,9653.144802
1.63,0.409000685,0.497535254,0.065369901,0.255286802,2622505.41,5077495.674,9420.596011
1.64,0.409715802,0.498199116,0.067403475,0.151375301,2625261.861,5074734.392,9181.322446
1.65,0.411134756,0.498878064,0.068386534,0.045179619,2636354.622,5063638.955,8938.737231
1.66,0.413235172,0.499561514,0.068303348,-0.061874353,2655647.95,5044345.17,8696.181906
1.67,0.415983923,0.500238798,0.067152549,-0.168339921,2682900.891,5017093.941,8456.928668
1.68,0.41933766,0.500899303,0.064947351,-0.272748193,2717765.249,4982233.31,8224.185065
1.69,0.423243494,0.501532627,0.061715765,-0.373608689,2759783.467,4940220.567,8001.099388
1.7,0.427639826,0.50212872,0.05750078,-0.469416706,2808387.571,4891623.32,7790.756336
1.71,0.432457324,0.502678037,0.052360439,-0.558667399,2862899.737,4837118.938,7596.162408
1.72,0.437620013,0.503171689,0.046367714,-0.639879462,2922535.602,4777491.256,7420.214503
1.73,0.443046474,0.503601589,0.039610125,-0.711626549,2986410.765,4713624.115,7265.654861
1.74,0.448651129,0.503960594,0.032188985,-0.772576596,3053551.144,4646491.03,7135.011146
1.75,0.45434559,0.504242639,0.024218243,-0.821535006,3122907.105,4577141.108,7030.528972
1.76,0.46004005,0.504442851,0.015822889,-0.857489521,3193371.321,4506681.23,6954.100036
1.77,0.465644705,0.504557654,0.007136918,-0.879651573,3263799.557,4436255.307,6907.19528
1.78,0.471071166,0.504584844,-0.00169908,-0.887491321,3333033.677,4367021.298,6890.8074
1.79,0.476233855,0.504523643,-0.01054063,-0.880762025,3399925.619,4300127.262,6905.410525
1.8,0.481051353,0.504374724,-0.019242269,-0.8595125,3463361.32,4236687.426,6950.938749
1.81,0.485447685,0.504140203,-0.027660494,-0.824085917,3522283.388,4177759.51,7026.786663
1.82,0.489353519,0.503823608,-0.035656638,-0.775106401,3575711.727,4124324.075,7131.828958
1.83,0.492707257,0.503429817,-0.043099565,-0.713454599,3622761.386,4077266.635,7264.457207
1.84,0.495456008,0.502964967,-0.04986807,-0.640235802,3662657.406,4037362.77,7422.627374
1.85,0.497556423,0.50243635,-0.055852944,-0.556743337,3694746.547,4005266.357,7603.913631
1.86,0.498975378,0.50185228,-0.060958671,-0.464421168,3718506.191,3981500.616,7805.561741
1.87,0.499690494,0.501221953,-0.065104753,-0.364828005,3733550.72,3966451.699,8024.538643
1.88,0.499690494,0.500555287,-0.068226696,-0.259605438,3739635.869,3960364.295,8257.574431
1.89,0.498975378,0.499862764,-0.070276706,-0.150450659,3736661.376,3963338.96,8501.196902
1.9,0.497556423,0.499155256,-0.071224128,-0.039094143,3724672.253,3975330.82,8751.759145
1.91,0.495456008,0.498443857,-0.071055689,0.07271901,3703858.714,3996149.631,9005.464161
1.92,0.492707257,0.497739704,-0.069775559,0.183245317,3674554.7,4025461.257,9258.390282
1.93,0.489353519,0.497053805,-0.067405256,0.290758976,3637234.647,4062790.906,9506.523191
1.94,0.485447685,0.496396871,-0.063983379,0.393569345,3592508.136,4107528.494,9745.798827
1.95,0.481051353,0.495779139,-0.059565149,0.490041599,3541111.903,4158936.667,9972.16154
1.96,0.476233855,0.495210217,-0.054221734,0.578621169,3483898.846,4216161.836,10181.63885
1.97,0.471071166,0.494698924,-0.048039298,0.657862142,3421823.735,4278248.504,10370.43266
1.98,0.465644705,0.494253152,-0.041117759,0.726458484,3355925.673,4344156.867,10535.02312
1.99,0.46004005,0.493879729,-0.033569228,0.783276445,3287307.581,4412783.371,10672.2793
2,0.45434559,0.493584312,-0.025516133,0.827385559,3217113.386,4482983.578,10779.56835
2.01,0.448651129,0.493371294,-0.017089049,0.858085663,3146503.798,4553596.423,10854.85384
2.02,0.443046474,0.493243732,-0.008424295,0.874927142,3076631.841,4623468.707,10896.77398
2.03,0.437620013,0.493203305,0.000338626,0.877722399,3008619.294,4691478.661,10904.69192
2.04,0.432457324,0.493250295,0.009059652,0.866547097,2943535.216,4756557.415,10878.71282
2.05,0.427639826,0.493383592,0.017600748,0.841730988,2882377.456,4817707.463,10819.66589
2.06,0.423243494,0.49360073,0.025828348,0.803839035,2826057.809,4874017.475,10729.05303
2.07,0.41933766,0.49389794,0.033615578,0.753644699,2775391.062,4924673.215,10608.9696
2.08,0.415983923,0.494270227,0.040844173,0.692097861,2731087.848,4968964.638,10462.00488
2.09,0.413235172,0.494711467,0.047406075,0.620290418,2693750.862,5006289.645,10291.13208
2.1,0.411134756,0.495214509,0.053204677,0.539422507,2663873.763,5036155.147,10099.5973
2.11,0.409715802,0.4957713,0.05815576,0.450772126,2641841.915,5058176.301,9890.816703
2.12,0.409000685,0.49637301,0.062188146,0.355670193,2627934.088,5072074.781,9668.288585
2.13,0.409000685,0.497010164,0.065244134,0.255482336,2622324.327,5077676.909,9435.52508
2.14,0.409715802,0.497672779,0.067279796,0.151597648,2625083.309,5074912.281,9196.004972
2.15,0.411134756,0.498350502,0.068265185,0.045423769,2636178.783,5063813.319,8953.146653
2.16,0.413235172,0.499032751,0.068184521,-0.061613338,2655474.931,5044515.91,8710.297643
2.17,0.415983923,0.499708859,0.067036389,-0.168067149,2682730.782,5017260.988,8470.73548
2.18,0.41933766,0.500368217,0.064833949,-0.272468648,2717598.079,4982396.661,8237.673586
2.19,0.423243494,0.501000421,0.061605162,-0.3733275,2759619.25,4940380.249,8014.265584
2.2,0.427639826,0.501595422,0.057392969,-0.46913894,2808226.267,4891779.422,7803.60203
2.21,0.432457324,0.502143674,0.052255357,-0.558398313,2862741.285,4837271.584,7608.694927
2.22,0.437620013,0.502636288,0.04626525,-0.639624335,2922379.885,4777640.641,7432.447255
2.23,0.443046474,0.503065176,0.039510111,-0.71139088,2986257.628,4713770.481,7277.607157
2.24,0.448651129,0.503423192,0.032091197,-0.772365933,3053400.363,4646634.703,7146.708784
2.25,0.45434559,0.503704268,0.024122404,-0.821355074,3122758.401,4577282.476,7042.004117
2.26,0.46004005,0.503903529,0.015728664,-0.857346022,3193224.331,4506820.777,6965.391692
2.27,0.465644705,0.504017396,0.007043914,-0.87955024,3263653.844,4436393.595,6918.349087
2.28,0.471071166,0.504043659,-0.001791312,-0.887437694,3332888.71,4367158.986,6901.875858
2.29,0.476233855,0.503981537,-0.010632593,-0.880761452,3399780.785,4300265.09,6916.452581
2.3,0.481051353,0.503831697,-0.019334518,-0.859569909,3463215.911,4236826.227,6962.019687
2.31,0.485447685,0.503596249,-0.027753628,-0.824205784,3522136.615,4177900.189,7037.977411
2.32,0.489353519,0.503278714,-0.035751302,-0.775292536,3575562.717,4124467.614,7143.205624
2.33,0.492707257,0.502883964,-0.043196435,-0.713710106,3622609.2,4077414.068,7276.100103
2.34,0.495456008,0.502418131,-0.049967849,-0.640562885,3662501.043,4037515.184,7434.620211
2.35,0.497556423,0.501888497,-0.055956354,-0.557143255,3694584.965,4005424.861,7616.342277
2.36,0.498975378,0.501303371,-0.06106644,-0.464894064,3718338.316,3981666.34,7818.513109
2.37,0.499690494,0.500671941,-0.065217605,-0.365372849,3733375.475,3966625.759,8038.099191
2.38,0.499690494,0.500004117,-0.068345338,-0.26021987,3739452.186,3960547.784,8271.82875
2.39,0.498975378,0.499310375,-0.070401813,-0.151130925,3736468.227,3963532.914,8516.225944
2.4,0.497556423,0.498601581,-0.071356333,-0.039834949,3724468.671,3975536.197,8767.638513
2.41,0.495456008,0.497888822,-0.071195562,0.071924545,3703643.83,3996367.278,9022.262084
2.42,0.492707257,0.497183229,-0.069923595,0.182405765,3674327.764,4025691.883,9276.165652
2.43,0.489353519,0.496495808,-0.067561855,0.28988459,3636995.071,4063035.042,9525.323381
2.44,0.485447685,0.495837263,-0.06414883,0.392672056,3592255.519,4107786.47,9765.657661
2.45,0.481051353,0.495217832,-0.059739615,0.489134885,3540846.066,4159208.575,9993.09722
2.46,0.476233855,0.49464712,-0.054405236,0.577719882,3483619.855,4216447.507,10203.65221
2.47,0.471071166,0.494133949,-0.048231704,0.656982191,3421531.925,4278547.493,10393.50565
2.48,0.465644705,0.49368621,-0.041318773,0.725616459,3355621.651,4344468.442,10559.11784
2.49,0.46004005,0.493310736,-0.03377839,0.782489104,3286992.234,4413106.516,10697.33755
2.5,0.45434559,0.49301319,-0.025732815,0.826669283,3216787.859,4483317.015,10805.51192
2.51,0.448651129,0.492797972,-0.017312465,0.857455822,3146169.476,4553938.633,10881.58556
2.52,0.443046474,0.492668147,-0.008653513,0.874397494,3076290.304,4623817.977,10924.17948
2.53,0.437620013,0.492625405,0.000104665,0.877304491,3008272.274,4691833.135,10932.64222
